userId,1,2,3,4
4135,"{'19', '4', '16', '6'}","{'4', '19', '1'}","{'4', '19'}","{'19', '22', '4'}"
4136,"{'22', '19', '5'}","{'22', '5'}",{'22'},
4137,"{'22', '1'}","{'22', '1', '5'}","{'22', '1'}","{'22', '16', '1', '21'}"
4138,,"{'4', '19'}",{'19'},"{'19', '1'}"
4139,"{'19', '1', '5'}","{'4', '19', '1'}","{'4', '19'}",{'19'}
4140,"{'22', '20', '19', '6'}","{'19', '16', '1'}","{'22', '19'}",
4141,,{'22'},,{'1'}
4142,"{'22', '1'}",,{'22'},{'22'}
4143,,{'16'},,
4144,,,{'4'},{'5'}
4147,,,{'4'},
4148,"{'4', '1'}","{'4', '19', '1'}","{'4', '19', '1'}","{'19', '1'}"
4149,,{'5'},"{'4', '5'}","{'19', '5'}"
4150,"{'19', '1'}","{'19', '1'}","{'19', '1', '5'}","{'19', '5'}"
4151,{'4'},"{'15', '4', '1', '5'}",,"{'15', '4', '5'}"
4152,"{'19', '1'}","{'19', '1'}","{'1', '14'}","{'19', '1', '5'}"
4153,"{'1', '5'}",,,
4154,"{'19', '15', '1'}","{'19', '1'}","{'15', '19', '3', '1'}","{'19', '1', '20', '3', '13'}"
4155,,,,{'3'}
4156,,{'19'},"{'19', '1'}",{'19'}
4157,{'1'},,,
4158,,,"{'1', '5', '13'}","{'22', '1', '5'}"
4159,,,{'22'},{'22'}
4161,{'19'},,,
4162,{'22'},,,
4163,"{'22', '1'}","{'22', '1'}",{'22'},{'22'}
4164,{'15'},{'15'},"{'15', '19', '1'}","{'22', '15', '1', '5'}"
4165,,{'4'},"{'22', '4', '1'}","{'22', '1'}"
4166,"{'19', '22', '1', '5', '20', '4'}","{'19', '22', '1', '5', '13', '4'}","{'4', '22', '19', '5'}","{'19', '22', '15', '1', '5', '14', '13', '4'}"
4167,{'19'},,"{'19', '1'}","{'19', '1'}"
4168,"{'15', '4'}","{'4', '16'}",{'4'},{'4'}
4169,{'1'},"{'19', '1'}",,{'1'}
4170,{'6'},,,
4171,"{'22', '4', '19'}",,{'19'},"{'22', '19'}"
4172,"{'15', '19'}",,,
4173,"{'22', '1'}",,,
4174,,,"{'22', '19'}",{'19'}
4176,"{'19', '4', '5', '13'}","{'19', '4', '11', '13'}","{'19', '21', '22', '5', '14', '12', '13', '4'}","{'19', '22', '14', '4', '7'}"
4179,"{'22', '15', '19', '1'}","{'19', '16', '1'}","{'22', '15', '19', '1'}","{'19', '15', '1'}"
4180,,,{'4'},
4181,{'1'},"{'19', '15', '5'}",{'5'},"{'19', '15', '1', '5'}"
4182,{'22'},{'22'},{'22'},"{'22', '1', '13'}"
4183,"{'16', '5'}",,,
4184,"{'22', '1'}","{'22', '1'}","{'22', '1'}","{'22', '1'}"
4185,{'5'},,,
4186,"{'19', '6'}","{'22', '19'}","{'22', '19', '16'}","{'22', '19', '16'}"
4187,"{'4', '1'}","{'4', '19', '5'}","{'4', '19'}","{'4', '19', '5'}"
4189,{'1'},"{'1', '14'}","{'3', '1', '10'}",{'1'}
4190,"{'22', '1'}",,{'22'},
4191,,,"{'22', '19'}","{'22', '19', '1', '5'}"
4192,{'1'},,{'1'},{'1'}
4193,"{'22', '19', '1'}","{'22', '19', '16', '1'}","{'22', '15', '4', '1'}","{'22', '19', '1'}"
4194,"{'20', '1'}",,{'3'},{'16'}
4195,"{'1', '12', '14', '13'}","{'13', '14'}","{'13', '22', '1', '14'}","{'22', '12', '1', '13'}"
4196,"{'20', '1', '6', '13'}","{'1', '6'}","{'19', '1', '6'}","{'1', '6', '13'}"
4197,"{'22', '19'}","{'22', '19'}","{'22', '19'}","{'22', '19'}"
4198,"{'22', '19'}",{'19'},"{'22', '19', '1'}","{'22', '19', '1'}"
4199,{'1'},"{'22', '1'}","{'19', '1', '14'}",{'15'}
4200,"{'19', '14', '1', '13'}","{'4', '19', '1', '14'}","{'19', '1', '14', '13', '4'}","{'19', '22', '1', '14', '4'}"
4201,"{'22', '19', '4', '1'}","{'19', '22', '1', '13', '4'}","{'20', '19', '1'}","{'19', '1'}"
4202,"{'19', '4'}","{'4', '19', '14'}","{'19', '22', '1', '14', '7'}","{'19', '14'}"
4204,"{'22', '3'}","{'19', '22', '1', '3', '4'}",{'22'},"{'22', '19', '3', '1'}"
4205,,,{'4'},"{'4', '15'}"
4206,{'19'},"{'22', '19'}",{'19'},{'19'}
4207,{'22'},,{'22'},
4208,"{'1', '7'}","{'4', '19', '1', '7'}",{'4'},"{'1', '7'}"
4209,{'22'},,{'5'},
4210,{'19'},{'4'},"{'4', '19'}","{'4', '1', '5'}"
4211,{'22'},{'4'},{'4'},{'22'}
4212,"{'22', '1'}",,{'22'},{'22'}
4213,"{'19', '22', '15', '1', '4'}","{'22', '19'}","{'19', '22', '15', '5', '4'}","{'19', '22', '4'}"
4214,"{'22', '4', '1', '19'}","{'22', '19', '4', '1'}","{'22', '19', '1'}","{'19', '22', '4'}"
4215,{'1'},{'1'},"{'12', '1'}","{'19', '1'}"
4217,,{'1'},{'1'},{'5'}
4218,{'19'},"{'19', '5'}","{'22', '4', '1', '19'}","{'19', '22', '4', '13'}"
4219,,,{'1'},{'1'}
4220,,,"{'4', '6'}",{'4'}
